name,transaction_type,mw,duration_hrs,country,lead_sponsor,buyer_counterparty,lender,deal_value,date,date_display,lat,lon
Green Genius Izabelinė and Lieponys Solar+BESS Projects,Project Finance,18,,Lithuania,Green Genius,,NordLB; Nordic Investment Bank,€64m,2025-08-19,Aug 2025,54.6833,25.2
Staythorpe BESS,Project Finance,360,2,United Kingdom,Elements Green,,Goldman Sachs Alternatives; Private Credit at Goldman Sachs Alternatives,€164m,2025-08-15,Aug 2025,53.0667,-0.8833
BESS Waltershausen,Project Finance,10,2.2,Germany,Tauber Energy GmbH,,Deutsche Kreditbank AG,,2025-08-07,Aug 2025,50.8986,10.5561
Shetland Standby Project - Lerwick BESS,Project Finance,68,,United Kingdom,Zenobē,,Syndicate of energy transition lenders,€70m,2025-07-30,Jul 2025,60.155,-1.145
DB Energie-EVB Beckum BESS Flexibility Agreement,Offtake Agreement,20,2.8,Germany,Energieversorgung Beckum,DB Energie,,,2025-07-24,Jul 2025,51.7547,8.0406
Förderstedt 300 MW Battery Storage Project,Project Finance,300,2.4,Germany,Eco Stor,,,€250m,2025-07-14,Jul 2025,51.9333,11.6167
Luxcara Waltrop BESS Acquisition,Acquisition,520,2,Germany,BKW,Luxcara,,,2025-07-02,Jul 2025,51.6167,7.4
Giga Albatross BESS Acquisition,Acquisition,350,4,Germany,Giga Storage,InfraVia Capital Partners,,€300m,2025-07-01,Jul 2025,52.2333,7.3667
EWR AG Worms 30 MW Battery Storage Project,Project Finance,30,,Germany,EWR AG Worms,,IKB,,2025-06-23,Jun 2025,49.6328,8.3567
Econergy Brandenburg BESS Acquisition,Acquisition,100,2,Germany,Econergy Renewable Energy,Econergy Renewable Energy,,€73m,2025-06-12,Jun 2025,51.525,14.0
GIGA Leopard Battery Storage Project,Project Finance,300,4,Netherlands,GIGA Storage,,8 European lenders; Club of 8 European lenders; Santander CIB,€300m,2025-06-02,Jun 2025,53.3333,6.9167
Energix Polska Nowe Czarnowo I & II BESS Project Finance,Project Finance,24,2.3,Poland,Axpo Polska,,Santander Bank Polska,€25m,2025-06-01,Jun 2025,53.25,14.55
RWE-Terralayr Virtual Battery Tolling Agreement,Offtake Agreement,50,2,Germany,Terralayr,RWE,,,2025-05-28,May 2025,52.52,13.405
"Field UK BESS Portfolio - Whitebirk, Holmston, Drum Farm",Project Finance,125,2,United Kingdom,Field,,ING; Rabobank,€49m,2025-05-19,May 2025,51.5074,-0.1278
Project Sophocles Solar and Battery Green Loan,Project Finance,350,4,Italy,Sunprime Holdings SRL,,European Investment Bank,€487m,2025-05-16,May 2025,41.9028,12.4964
ENGIE-Terralayr Mini Toll Framework Agreement,Offtake Agreement,,,Germany,Terralayr,ENGIE,,,2025-05-06,May 2025,52.52,13.405
Vattenfall-Terralayr Multi-Site Virtual BESS Tolling Agreement,Offtake Agreement,55,2,Germany,Terralayr,Vattenfall,,,2025-05-05,May 2025,52.52,13.405
Obton German BESS Portfolio Subordinated Debt Financing,Project Finance,138,2.1,Germany,Kyon Energy,,Berenberg Green Energy Debt Funds,,2025-04-28,Apr 2025,53.55,9.99
Zenobē Eccles 400MW Battery Storage Financing,Project Finance,400,2,United Kingdom,Zenobē,,KKR Capital Markets Partners LLP; National Westminster Bank Plc,€257m,2025-03-18,Mar 2025,53.4833,-2.3333
Stendal Battery Storage Project,Project Finance,209,1,Germany,NOFAR Energy,Undisclosed,NordLB,€87m,2025-03-05,Mar 2025,52.6069,11.8594
Bramley BESS,Offtake Agreement,100,3.3,United Kingdom,BW ESS,Shell,,,2025-02-21,Feb 2025,51.335,-0.7567
Lion Storage Mufasa Project,Project Finance,350,4,Netherlands,Lion Storage,Eneco,ABN AMRO; ASR; ING; Rabobank; Santander; Triodos Bank,€350m,2025-02-19,Feb 2025,51.4433,3.5714
Elsewedy Electric 50MW/100MWh Greece BESS,Project Finance,50,2,Greece,Elsewedy Electric,,European Union Recovery and Resilience Fund; National Bank of Greece S.A.,€26m,2025-01-20,Jan 2025,38.3167,23.6333
Partners Group investment in green flexibility BESS platform,Equity Investment,,,Germany,Christoph Ostermann,Partners Group,,"€1,000m",2025-01-16,Jan 2025,47.65,10.4
Eneco Dronten BESS Project Finance,Project Finance,32,4,Netherlands,FlevoBESS,,ASN Bank,,2025-01-10,Jan 2025,52.5167,5.7167
ib vogt Greece Solar+Storage Portfolio Sale to Faria Renewables,Acquisition,,,Greece,ib vogt,Faria Group,,,2025-01-10,Jan 2025,39.18,22.75
Return Energy APG equity investment,Equity Investment,"5,000",,Netherlands,Return Energy,APG,,€300m,2025-01-01,Jan 2025,52.3676,4.9041
RWE Pembroke Battery Storage FID,Project Finance,350,2,United Kingdom,RWE,,,€234m,2025-01-01,Jan 2025,51.6833,-4.9167
