quarter,scope,project_finance,acquisition,equity_investment,offtake_agreement
Q1 2024,europe,4,2,0,1
Q2 2024,europe,2,2,0,1
Q3 2024,europe,2,1,0,0
Q4 2024,europe,4,6,0,0
Q1 2025,europe,6,1,2,1
Q2 2025,europe,6,1,0,3
Q3 2025,europe,9,3,1,1
Q4 2025,europe,13,12,0,6
Q1 2024,germany,1,1,0,0
Q2 2024,germany,1,1,0,0
Q3 2024,germany,1,1,0,0
Q4 2024,germany,0,4,0,0
Q1 2025,germany,1,0,1,0
Q2 2025,germany,2,1,0,3
Q3 2025,germany,4,3,0,1
Q4 2025,germany,3,4,0,2
