lender,deal_count,total_mw,energy_mwh,countries,deal_name,deal_sponsor,deal_mw
National Bank of Greece,1,50,100,Greece,Elsewedy Electric 50MW/100MWh Greece BESS,Elsewedy Electric; Energy Bank I S.A.,50
ASN Bank,1,32,126,Netherlands,Eneco Dronten BESS Project Finance,FlevoBESS; GreenPowerBank Dronten; Pure Energie,32
IKB,1,30,-,Germany,EWR AG Worms 30 MW Battery Storage Project,EWR AG Worms,30
BPER,1,20,-,Italy,Gruppo Futura Agrivoltaic Project with BESS,Gruppo Futura,20
Banca Ifigest,1,20,-,Italy,Gruppo Futura Agrivoltaic Project with BESS,Gruppo Futura,20
Monte dei Paschi,1,20,-,Italy,Gruppo Futura Agrivoltaic Project with BESS,Gruppo Futura,20
Banco di Sardegna,1,20,-,Italy,Gruppo Futura Agrivoltaic Project with BESS,Gruppo Futura,20
Nordic Investment Bank,1,18,-,Lithuania,Green Genius Izabelinė and Lieponys Solar+BESS Projects,Green Genius,18
DAL / Deutsche Leasing,1,13,29,Germany,Return Brietlingen BESS,Return,13
DKB,1,10,22,Germany,BESS Waltershausen,Tauber Energy GmbH; Tauber Solar Holding,10
HSBC,1,,-,France,,,
HCOB,1,,-,Germany,,,
